,cid,smiles
94,9853654,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
95,53025,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)C1SC(S1)=C(C(N)=O)C(O)=O)OC)C(O)=O
96,58031952,[H][C@](C)(OC)[C@]([H])(N=C(O)OC)C(=O)N1CCC[C@@]1([H])C1=NC2=C(N1)C=C(F)C(=C2)[C@@]1([H])CC[C@@]([H])(N1C1=CC(F)=C(N2CCC(CC2)C2=CC=C(F)C=C2)C(F)=C1)C1=CC2=C(NC(=N2)[C@]2([H])CCCN2C(=O)[C@@]([H])(N=C(O)OC)[C@@]([H])(C)OC)C=C1F
97,6374,[H]C(I)(I)I
98,10631,O[C@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)[C@H](C3)C)C)CC2)CC1)C)C(=O)C
99,23663963,S(=O)(=O)([O-])c1c2c(c(c1)CC)cccc(C(C)C)c2.[Na+]
100,6479523,[H][C@](NC(=O)N1CCNC1=O)(C(=O)N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])C1=CC=CC=C1
101,10413,OCCCC(=O)O
102,33478,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(=O)OCOC(=O)C(C)(C)C
103,15209,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
104,475319,S1[C@H]2N(C(=O)[C@@]2(OC)NC(=O)Cc2sccc2)C(=C(C1)COC(=O)N)C(=O)[O-]
105,9949848,[H][C@@]12CC[C@](C)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C
106,54671008,CN1C(=O)C(O)=C(N=C1C(C)(C)NC(=O)C1=NN=C(C)O1)C(=O)NCC1=CC=C(F)C=C1
107,9638,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
108,27991,S1SCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2C(CCC2)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N)C1)CC(=O)N)CCC(=O)N)Cc1ccccc1)Cc1ccc(O)cc1
109,44629879,O([C@@H]1[C@H]([C@H](O[C@@H]2O[C@H]([C@H](O)[C@@](OC)(C2)C)C)[C@H](C(=O)O[C@@H]([C@@](O)([C@H](O)[C@H](C(=O)[C@@H](C[C@]1(OC)C)C)C)C)CC)C)C)[C@@H]1O[C@@H](C[C@@H](N(C)C)[C@@H]1O)C
110,3052762,COCCCN1CCC(CC1)NC(=O)C1=C2OCCC2=C(N)C(Cl)=C1
111,24083,S(=O)(=O)([O-])[O-].[Mg+2]
112,24087,S=[Se]=S
113,24795069,COC1=C(OC)C=C2[C@H]3C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN3CCC2=C1
114,60648,CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1
115,392622,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1
116,3518,NC(N)=NCCN1CCCCCCC1
117,8944,CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1
118,16923,[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC(O)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C
119,6918251,O1Cc2c(ncc3=N/C(=c\4/[nH]occ4)/N=c23)CC1
120,5281021,O[C@@]12[C@@H](C[C@H]3C(=C(O)c4c(C3)c(N(C)C)ccc4O)C1=O)[C@H](N(C)C)C(=O)/C(=C(/O)\N)/C2=O
121,6337211,Oc1cc2[C@@]3([C@H](N)[C@H](Cc2cc1)CCCCC3)C
122,11243969,N[C@H](C(=O)N1[C@H]2C[C@H]2C[C@H]1C#N)C12CC3CC(CC(O)(C3)C1)C2
123,3517,NC(N)=NN=CC1=C(Cl)C=CC=C1Cl
124,3516,COC1=CC=CC=C1OCC(O)CO
125,7628,OB(O)O
126,16076883,COC1=CN=C(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]2(C[C@H]2C=C)C(=O)NS(=O)(=O)C2CC2)C2=C1C=CC(Cl)=C2
127,6202,Cl.[Cl-].s1c(c([n+](Cc2c(nc(nc2)C)N)c1)C)CCO
128,62867,S1c2c(N(CCCN3CCC(CC3)CCO)c3c1cccc3)cc(S(=O)(=O)N(C)C)cc2
129,2681,CCCCCCCCCCCCCCCC[N+](C)(C)C
130,1738118,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
131,2683,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1
132,22267,O=C(C(CC(N(C)C)C)(c1ccccc1)c1ccccc1)CC
133,3085017,NCC=C.ClCC1CO1
134,41693,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1
